id,source,object_type,name,display_name,authoritative,available_on_relationships,description,Keep/Remove,Reason,Comment
tissue_prep.benchling_specimen_id,benchling,tissue_prep,benchling_specimen_id,,,,,,,
tissue_prep.benchling_tissue_prep_type,benchling,tissue_prep,benchling_tissue_prep_type,Tissue Prep Type,,,,,,
tissue_prep.benchling_sciops_protocol_required,benchling,tissue_prep,benchling_sciops_protocol_required,,,,,,,
tissue_prep.benchling_labwork_category_sts,benchling,tissue_prep,benchling_labwork_category_sts,,,,,,,
sequencing_request.benchling_nanodrop_260280,benchling,sequencing_request,benchling_nanodrop_260280,260/280 Ratio,,,,,,
sample.benchling_date_assigned_to_lab,benchling,sample,benchling_date_assigned_to_lab,Date Assigned to Lab,,,,,,
extraction.benchling_dna_260_230_ratio,benchling,extraction,benchling_dna_260_230_ratio,260/230 Ratio,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_hic_min,benchling,sample,benchling_sequencing_request_benchling_completion_date_hic_min,Earliest HiC Request,,,,,,
species.benchling_sequencing_request_benchling_completion_date_pacbio_max,benchling,species,benchling_sequencing_request_benchling_completion_date_pacbio_max,Latest PacBio Request,,,,,,
tolid.benchling_extraction_benchling_volume_ul_rna_min,benchling,tolid,benchling_extraction_benchling_volume_ul_rna_min,,,,,,,
tissue_prep.benchling_extraction_benchling_volume_ul_rna_min,benchling,tissue_prep,benchling_extraction_benchling_volume_ul_rna_min,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_hic_max,benchling,sample,benchling_sequencing_request_benchling_completion_date_hic_max,Latest HiC Request,,,,,,
tolid.benchling_extraction_dna_count,benchling,tolid,benchling_extraction_dna_count,,,,,,,
sample.benchling_sequencing_request_wgs_count,benchling,sample,benchling_sequencing_request_wgs_count,,,,,,,
sample.benchling_sequencing_request_count,benchling,sample,benchling_sequencing_request_count,,,,,,,
species.benchling_extraction_rna_count,benchling,species,benchling_extraction_rna_count,,,,,,,
